Stations,Drones,Iteration,APCount,Distance,APDistance,FlightTime,APFlightTime
5,10,1,5,3757.230284769831,3757.230284769831,2.1870903496497043,2.1870903496497043
5,10,2,5,5318.658175959974,5318.658175959974,2.481232712793037,2.481232712793037
5,10,3,5,4145.928540201274,4145.928540201274,1.817647071880279,1.817647071880279
5,10,4,5,3898.7972545325943,3898.7972545325943,2.165784087416356,2.165784087416356
5,10,5,5,2413.102073442864,2413.102073442864,1.3427918115286404,1.3427918115286404
5,10,6,5,3529.355434179386,3529.355434179386,1.5634203736507428,1.5634203736507428
5,10,7,3,3191.9513518778576,1820.558521969122,1.3514839682081807,1.3514839682081807
5,10,8,5,3984.6649135069083,3984.6649135069083,1.7374525681617319,1.7374525681617319
5,10,9,5,3405.607282634068,3405.607282634068,1.9191333206246934,1.9191333206246934
5,10,10,5,4344.283383544549,4344.283383544549,2.064383778295061,2.064383778295061
10,1,1,9,3627.4771406712207,3497.8219150729738,6.717550260502261,6.477447990875878
10,1,2,8,2913.3275087622874,2795.1455979459606,5.395050942152384,5.176195551751779
10,1,3,8,2761.9193861520075,2677.3727815419984,5.114665529911125,4.958097743596293
10,1,4,8,2573.615476002358,2418.9046682146845,4.765954585189552,4.479453089286452
10,1,5,7,2857.1148386674026,2686.6182304264034,5.290953404939635,4.97521894523408
10,1,6,10,3239.190831849128,3239.190831849128,5.998501540461348,5.998501540461348
10,1,7,9,2852.160123850239,2854.4614519849383,5.281778007130072,5.286039725898035
10,1,8,9,2604.3924513302754,2593.01632416179,4.822948983944955,4.801882081781093
10,1,9,9,3165.3242343418756,3165.2981593215586,5.861711545077547,5.861663258002887
10,1,10,8,2560.253809070352,2504.2929302403686,4.741210757537689,4.637579500445128
10,2,1,9,3476.714581984396,3238.540369432333,3.940323663861226,3.4583432392829656
10,2,2,9,3403.6135668639927,3327.2574454731857,3.378010586045625,3.4447991293218543
10,2,3,9,3338.410536097078,3314.511715350027,3.309575279853084,3.309575279853084
10,2,4,7,2857.7016720099678,2711.6384237515767,2.784821606489515,2.608918271811162
10,2,5,8,3436.3574245014206,2737.4601389271193,3.4685772680704665,2.702815127874369
10,2,6,8,2465.6439082099228,2586.0856814497174,2.350299934689926,2.669584067099632
10,2,7,10,3189.494176438401,3189.494176438401,3.0833675369477813,3.0833675369477813
10,2,8,9,3661.269770473178,3538.0664692723094,3.6023378112380104,3.37418354975492
10,2,9,7,3123.8600140016174,2700.3973060504436,3.0979873325458454,2.6807267232539127
10,2,10,9,3582.197434000768,3576.9872976958072,3.5252248264337758,3.5252248264337758
10,3,1,8,3594.0865142819275,3448.1236005363476,2.6389510773773583,2.5888352233909053
10,3,2,10,3714.937950843885,3714.937950843885,2.8556480269077205,2.8556480269077205
10,3,3,9,3047.9731481889085,3366.0027640632557,2.7173644978697524,2.4267676102011433
10,3,4,9,3991.050955598125,4619.041440938665,3.5142685798921827,3.487640304450846
10,3,5,9,3982.85887603742,3628.7382451115673,3.0437036514254263,2.9057175035305587
10,3,6,8,4140.487952143796,3958.0927794643135,3.2981238031777957,3.1924609825480097
10,3,7,9,3751.3394731739127,4037.226970612212,2.8197825804433974,2.8163417463071827
10,3,8,9,2935.3428126518793,3190.5079888052924,2.3530396648518406,2.48453651982737
10,3,9,8,3658.94076871733,3596.8518383665833,3.021191321865013,2.9066005363048477
10,3,10,9,4320.94468208753,3833.1943903819506,4.2379912067437395,2.9917856233066127
10,4,1,9,4906.8875651680855,4003.7968655374575,3.953605489642133,3.235297356296166
10,4,2,10,4792.604177487287,4792.604177487287,2.999798866782603,2.999798866782603
10,4,3,10,4700.4773590823725,4700.4773590823725,2.9473464365308333,2.9473464365308333
