Stations,Drones,Iteration,FlightTime,Distance,IL_AP_Count,IL_Distance,IL_FlightTime,IL_AlgorithmTime,IL_Validation,IL_Quality,IL_PredictedExtraHoverTime,ApproximationVoronoi_AP_Count,ApproximationVoronoi_Distance,ApproximationVoronoi_FlightTime,ApproximationVoronoi_AlgorithmTime,ApproximationVoronoi_Validation,ApproximationVoronoi_Quality,ApproximationVoronoi_PredictedExtraHoverTime,TrueVoronoi_AP_Count,TrueVoronoi_Distance,TrueVoronoi_FlightTime,TrueVoronoi_AlgorithmTime,TrueVoronoi_Validation,TrueVoronoi_Quality,TrueVoronoi_PredictedExtraHoverTime,ConstrainedKMeans_AP_Count,ConstrainedKMeans_Distance,ConstrainedKMeans_FlightTime,ConstrainedKMeans_AlgorithmTime,ConstrainedKMeans_Validation,ConstrainedKMeans_Quality,ConstrainedKMeans_PredictedExtraHoverTime,CustomDBSCAN_AP_Count,CustomDBSCAN_Distance,CustomDBSCAN_FlightTime,CustomDBSCAN_AlgorithmTime,CustomDBSCAN_Validation,CustomDBSCAN_Quality,CustomDBSCAN_PredictedExtraHoverTime,GeometricSetCover_AP_Count,GeometricSetCover_Distance,GeometricSetCover_FlightTime,GeometricSetCover_AlgorithmTime,GeometricSetCover_Validation,GeometricSetCover_Quality,GeometricSetCover_PredictedExtraHoverTime,GraphBased_AP_Count,GraphBased_Distance,GraphBased_FlightTime,GraphBased_AlgorithmTime,GraphBased_Validation,GraphBased_Quality,GraphBased_PredictedExtraHoverTime,GreedyCirclePacking_AP_Count,GreedyCirclePacking_Distance,GreedyCirclePacking_FlightTime,GreedyCirclePacking_AlgorithmTime,GreedyCirclePacking_Validation,GreedyCirclePacking_Quality,GreedyCirclePacking_PredictedExtraHoverTime
5,1,1,5.124833333333333,2632.41,5,2632.41,4.874833333333333,33148,1_1_1,0.9999999999999999,0,5,2632.41,4.874833333333333,286,1_1_1,0.9999999999999999,0,5,2632.41,4.874833333333333,222,1_1_1,0.9999999999999999,0,5,2632.41,4.874833333333333,391,1_1_1,0.9999999999999999,0,5,2632.41,4.874833333333333,177,1_1_1,0.9999999999999999,0,5,2632.41,4.874833333333333,177,1_1_1,0.9999999999999999,0,5,2632.41,4.874833333333333,168,1_1_1,0.9999999999999999,0,5,2632.41,4.874833333333333,226,1_1_1,0.9999999999999999,0
5,1,2,4.368740740740741,2224.12,5,2224.12,4.118740740740741,63880,1_1_1,0.9999999999999999,0,5,2224.12,4.118740740740741,345,1_1_1,0.9999999999999999,0,5,2224.12,4.118740740740741,248,1_1_1,0.9999999999999999,0,5,2224.12,4.118740740740741,428,1_1_1,0.9999999999999999,0,5,2224.12,4.118740740740741,193,1_1_1,0.9999999999999999,0,5,2224.12,4.118740740740741,189,1_1_1,0.9999999999999999,0,5,2224.12,4.118740740740741,185,1_1_1,0.9999999999999999,0,4,2202.76,4.136770954422164,243,1_1_1,0.8148362205126767,3.4551461542187045
5,1,3,3.787425925925926,1910.21,4,1889.49,3.537483288696591,47971,1_1_1,0.7370159660602665,2.3056639884621,4,1910,3.548498124112979,276,1_1_1,0.8823821121256473,0.687665224556516,4,1889.49,3.537483288696591,224,1_1_1,0.7370159660602665,2.3056639884621,5,1910.21,3.537425925925926,635,1_1_1,0.9999999999999999,0,4,1889.49,3.537483288696591,185,1_1_1,0.7370159660602665,2.3056639884621,4,1889.49,3.537483288696591,146,1_1_1,0.7370159660602665,2.3056639884621,4,1889.49,3.537483288696591,176,1_1_1,0.7370159660602665,2.3056639884621,4,1889.49,3.537483288696591,194,1_1_1,0.7370159660602665,2.3056639884621
5,1,4,5.660759259259259,2921.81,4,2901.71,5.414126660736149,64404,1_1_1,0.7285483462617289,2.435377421946723,4,2842.19,5.276380641161,358,1_1_1,0.877470395901325,0.7839495807711119,4,2901.71,5.414126660736149,278,1_1_1,0.7285483462617289,2.435377421946723,5,2921.81,5.410759259259259,499,1_1_1,0.9999999999999999,0,4,2901.71,5.414126660736149,206,1_1_1,0.7285483462617289,2.435377421946723,4,2901.71,5.414126660736149,150,1_1_1,0.7285483462617289,2.435377421946723,4,2901.71,5.414126660736149,197,1_1_1,0.7285483462617289,2.435377421946723,4,2901.71,5.414126660736149,198,1_1_1,0.7285483462617289,2.435377421946723
5,1,5,2.2235925925925923,1065.74,3,948.86,1.8136633721253648,76850,1_1_1,0.703622643959766,3.3909134386329907,4,1031.76,1.9106666666666667,303,1_1_1,0.9467807812640604,0,3,948.86,1.8136633721253648,163,1_1_1,0.703622643959766,3.3909134386329907,4,1032.19,1.9114629629629634,566,1_1_1,0.9467614299505417,0,3,948.86,1.8136633721253648,184,1_1_1,0.703622643959766,3.3909134386329907,3,948.86,1.8136633721253648,121,1_1_1,0.703622643959766,3.3909134386329907,3,948.86,1.8136633721253648,379,1_1_1,0.703622643959766,3.3909134386329907,2,821.89,1.6316651091599264,153,1_1_1,0.6129592585109808,6.578795438484461
5,1,6,5.233388888888889,2691.03,5,2691.03,4.983388888888889,73239,1_1_1,0.9999999999999999,0,5,2691.03,4.983388888888889,310,1_1_1,0.9999999999999999,0,5,2691.03,4.983388888888889,231,1_1_1,0.9999999999999999,0,5,2691.03,4.983388888888889,393,1_1_1,0.9999999999999999,0,5,2691.03,4.983388888888889,172,1_1_1,0.9999999999999999,0,5,2691.03,4.983388888888889,173,1_1_1,0.9999999999999999,0,5,2691.03,4.983388888888889,185,1_1_1,0.9999999999999999,0,5,2691.03,4.983388888888889,226,1_1_1,0.9999999999999999,0
5,1,7,2.610074074074074,1274.44,5,1274.44,2.360074074074074,71157,1_1_1,0.9999999999999999,0,5,1274.44,2.360074074074074,307,1_1_1,0.9999999999999999,0,5,1274.44,2.360074074074074,230,1_1_1,0.9999999999999999,0,5,1274.44,2.360074074074074,407,1_1_1,0.9999999999999999,0,5,1274.44,2.360074074074074,181,1_1_1,0.9999999999999999,0,5,1274.44,2.360074074074074,172,1_1_1,0.9999999999999999,0,5,1274.44,2.360074074074074,186,1_1_1,0.9999999999999999,0,4,1118.87,2.1719814814814815,221,1_1_1,0.7255452467582374,6
5,1,8,4.402333333333335,2242.26,5,2242.26,4.152333333333335,40368,1_1_1,0.9999999999999999,0,5,2242.26,4.152333333333335,302,1_1_1,0.9999999999999999,0,5,2242.26,4.152333333333335,232,1_1_1,0.9999999999999999,0,5,2242.26,4.152333333333335,391,1_1_1,0.9999999999999999,0,5,2242.26,4.152333333333335,174,1_1_1,0.9999999999999999,0,5,2242.26,4.152333333333335,171,1_1_1,0.9999999999999999,0,5,2242.26,4.152333333333335,176,1_1_1,0.9999999999999999,0,5,2242.26,4.152333333333335,389,1_1_1,0.9999999999999999,0
5,1,9,4.0074814814814825,2029.04,5,2029.04,3.757481481481482,57369,1_1_1,0.9999999999999999,0,5,2029.04,3.757481481481482,307,1_1_1,0.9999999999999999,0,5,2029.04,3.757481481481482,234,1_1_1,0.9999999999999999,0,5,2029.04,3.757481481481482,393,1_1_1,0.9999999999999999,0,5,2029.04,3.757481481481482,183,1_1_1,0.9999999999999999,0,5,2029.04,3.757481481481482,176,1_1_1,0.9999999999999999,0,5,2029.04,3.757481481481482,187,1_1_1,0.9999999999999999,0,5,2029.04,3.757481481481482,235,1_1_1,0.9999999999999999,0
5,1,10,4.56062962962963,2327.74,5,2327.74,4.31062962962963,43502,1_1_1,0.9999999999999999,0,5,2327.74,4.31062962962963,308,1_1_1,0.9999999999999999,0,5,2327.74,4.31062962962963,231,1_1_1,0.9999999999999999,0,5,2327.74,4.31062962962963,385,1_1_1,0.9999999999999999,0,5,2327.74,4.31062962962963,187,1_1_1,0.9999999999999999,0,5,2327.74,4.31062962962963,174,1_1_1,0.9999999999999999,0,5,2327.74,4.31062962962963,187,1_1_1,0.9999999999999999,0,5,2327.74,4.31062962962963,233,1_1_1,0.9999999999999999,0
