Stations,Drones,Iteration,FlightTime,Distance,IL_AP_Count,IL_Distance,IL_FlightTime,IL_AlgorithmTime,IL_Validation,IL_Quality,IL_PredictedExtraHoverTime,ApproximationVoronoi_AP_Count,ApproximationVoronoi_Distance,ApproximationVoronoi_FlightTime,ApproximationVoronoi_AlgorithmTime,ApproximationVoronoi_Validation,ApproximationVoronoi_Quality,ApproximationVoronoi_PredictedExtraHoverTime,TrueVoronoi_AP_Count,TrueVoronoi_Distance,TrueVoronoi_FlightTime,TrueVoronoi_AlgorithmTime,TrueVoronoi_Validation,TrueVoronoi_Quality,TrueVoronoi_PredictedExtraHoverTime,ConstrainedKMeans_AP_Count,ConstrainedKMeans_Distance,ConstrainedKMeans_FlightTime,ConstrainedKMeans_AlgorithmTime,ConstrainedKMeans_Validation,ConstrainedKMeans_Quality,ConstrainedKMeans_PredictedExtraHoverTime,CustomDBSCAN_AP_Count,CustomDBSCAN_Distance,CustomDBSCAN_FlightTime,CustomDBSCAN_AlgorithmTime,CustomDBSCAN_Validation,CustomDBSCAN_Quality,CustomDBSCAN_PredictedExtraHoverTime,GeometricSetCover_AP_Count,GeometricSetCover_Distance,GeometricSetCover_FlightTime,GeometricSetCover_AlgorithmTime,GeometricSetCover_Validation,GeometricSetCover_Quality,GeometricSetCover_PredictedExtraHoverTime,GraphBased_AP_Count,GraphBased_Distance,GraphBased_FlightTime,GraphBased_AlgorithmTime,GraphBased_Validation,GraphBased_Quality,GraphBased_PredictedExtraHoverTime,GreedyCirclePacking_AP_Count,GreedyCirclePacking_Distance,GreedyCirclePacking_FlightTime,GreedyCirclePacking_AlgorithmTime,GreedyCirclePacking_Validation,GreedyCirclePacking_Quality,GreedyCirclePacking_PredictedExtraHoverTime
5,1,1,5.124833333333333,2632.41,5,2632.41,4.874833333333333,83637,1_1_1,0.9999999999999999,0,5,2632.41,4.874833333333333,261,1_1_1,0.9999999999999999,0,5,2632.41,4.874833333333333,174,1_1_1,0.9999999999999999,0,5,2632.41,4.874833333333333,347,1_1_1,0.9999999999999999,0,5,2632.41,4.874833333333333,125,1_1_1,0.9999999999999999,0,5,2632.41,4.874833333333333,124,1_1_1,0.9999999999999999,0,5,2632.41,4.874833333333333,107,1_1_1,0.9999999999999999,0,5,2632.41,4.874833333333333,183,1_1_1,0.9999999999999999,0
5,1,2,4.368740740740741,2224.12,5,2224.12,4.118740740740741,69197,1_1_1,0.9999999999999999,0,5,2224.12,4.118740740740741,337,1_1_1,0.9999999999999999,0,5,2224.12,4.118740740740741,265,1_1_1,0.9999999999999999,0,5,2224.12,4.118740740740741,463,1_1_1,0.9999999999999999,0,5,2224.12,4.118740740740741,132,1_1_1,0.9999999999999999,0,5,2224.12,4.118740740740741,124,1_1_1,0.9999999999999999,0,5,2224.12,4.118740740740741,201,1_1_1,0.9999999999999999,0,4,2202.76,4.136770954422164,234,1_1_1,0.8148362205126767,3.4551461542187045
5,1,3,3.787425925925926,1910.21,4,1889.49,3.537483288696591,51805,1_1_1,0.7370159660602665,2.3056639884621,4,1910,3.548498124112979,297,1_1_1,0.8823821121256473,0.687665224556516,4,1889.49,3.537483288696591,175,1_1_1,0.7370159660602665,2.3056639884621,5,1910.21,3.537425925925926,421,1_1_1,0.9999999999999999,0,4,1889.49,3.537483288696591,131,1_1_1,0.7370159660602665,2.3056639884621,4,1889.49,3.537483288696591,192,1_1_1,0.7370159660602665,2.3056639884621,4,1889.49,3.537483288696591,306,1_1_1,0.7370159660602665,2.3056639884621,4,1889.49,3.537483288696591,287,1_1_1,0.7370159660602665,2.3056639884621
5,1,4,5.660759259259259,2921.81,4,2901.71,5.414126660736149,57573,1_1_1,0.7285483462617289,2.435377421946723,4,2842.19,5.276380641161,247,1_1_1,0.877470395901325,0.7839495807711119,4,2901.71,5.414126660736149,164,1_1_1,0.7285483462617289,2.435377421946723,5,2921.81,5.410759259259259,514,1_1_1,0.9999999999999999,0,4,2901.71,5.414126660736149,131,1_1_1,0.7285483462617289,2.435377421946723,4,2901.71,5.414126660736149,100,1_1_1,0.7285483462617289,2.435377421946723,4,2901.71,5.414126660736149,308,1_1_1,0.7285483462617289,2.435377421946723,4,2901.71,5.414126660736149,204,1_1_1,0.7285483462617289,2.435377421946723
5,1,5,2.2235925925925923,1065.74,3,948.86,1.8136633721253648,94922,1_1_1,0.703622643959766,3.3909134386329907,4,1031.76,1.9106666666666667,260,1_1_1,0.9467807812640604,0,3,948.86,1.8136633721253648,129,1_1_1,0.703622643959766,3.3909134386329907,4,1032.19,1.9114629629629634,570,1_1_1,0.9467614299505417,0,3,948.86,1.8136633721253648,147,1_1_1,0.703622643959766,3.3909134386329907,3,948.86,1.8136633721253648,89,1_1_1,0.703622643959766,3.3909134386329907,3,948.86,1.8136633721253648,133,1_1_1,0.703622643959766,3.3909134386329907,2,821.89,1.6316651091599264,108,1_1_1,0.6129592585109808,6.578795438484461
5,1,6,5.233388888888889,2691.03,5,2691.03,4.983388888888889,111745,1_1_1,0.9999999999999999,0,5,2691.03,4.983388888888889,295,1_1_1,0.9999999999999999,0,5,2691.03,4.983388888888889,201,1_1_1,0.9999999999999999,0,5,2691.03,4.983388888888889,423,1_1_1,0.9999999999999999,0,5,2691.03,4.983388888888889,301,1_1_1,0.9999999999999999,0,5,2691.03,4.983388888888889,131,1_1_1,0.9999999999999999,0,5,2691.03,4.983388888888889,139,1_1_1,0.9999999999999999,0,5,2691.03,4.983388888888889,196,1_1_1,0.9999999999999999,0
5,1,7,2.610074074074074,1274.44,5,1274.44,2.360074074074074,45487,1_1_1,0.9999999999999999,0,5,1274.44,2.360074074074074,383,1_1_1,0.9999999999999999,0,5,1274.44,2.360074074074074,189,1_1_1,0.9999999999999999,0,5,1274.44,2.360074074074074,373,1_1_1,0.9999999999999999,0,5,1274.44,2.360074074074074,132,1_1_1,0.9999999999999999,0,5,1274.44,2.360074074074074,129,1_1_1,0.9999999999999999,0,5,1274.44,2.360074074074074,199,1_1_1,0.9999999999999999,0,4,1118.87,2.1719814814814815,290,1_1_1,0.7255452467582374,6
5,1,8,4.402333333333335,2242.26,5,2242.26,4.152333333333335,36039,1_1_1,0.9999999999999999,0,5,2242.26,4.152333333333335,310,1_1_1,0.9999999999999999,0,5,2242.26,4.152333333333335,185,1_1_1,0.9999999999999999,0,5,2242.26,4.152333333333335,361,1_1_1,0.9999999999999999,0,5,2242.26,4.152333333333335,133,1_1_1,0.9999999999999999,0,5,2242.26,4.152333333333335,119,1_1_1,0.9999999999999999,0,5,2242.26,4.152333333333335,133,1_1_1,0.9999999999999999,0,5,2242.26,4.152333333333335,193,1_1_1,0.9999999999999999,0
5,1,9,4.0074814814814825,2029.04,5,2029.04,3.757481481481482,44349,1_1_1,0.9999999999999999,0,5,2029.04,3.757481481481482,258,1_1_1,0.9999999999999999,0,5,2029.04,3.757481481481482,194,1_1_1,0.9999999999999999,0,5,2029.04,3.757481481481482,351,1_1_1,0.9999999999999999,0,5,2029.04,3.757481481481482,186,1_1_1,0.9999999999999999,0,5,2029.04,3.757481481481482,123,1_1_1,0.9999999999999999,0,5,2029.04,3.757481481481482,122,1_1_1,0.9999999999999999,0,5,2029.04,3.757481481481482,198,1_1_1,0.9999999999999999,0
5,1,10,4.56062962962963,2327.74,5,2327.74,4.31062962962963,94742,1_1_1,0.9999999999999999,0,5,2327.74,4.31062962962963,297,1_1_1,0.9999999999999999,0,5,2327.74,4.31062962962963,209,1_1_1,0.9999999999999999,0,5,2327.74,4.31062962962963,334,1_1_1,0.9999999999999999,0,5,2327.74,4.31062962962963,163,1_1_1,0.9999999999999999,0,5,2327.74,4.31062962962963,117,1_1_1,0.9999999999999999,0,5,2327.74,4.31062962962963,104,1_1_1,0.9999999999999999,0,5,2327.74,4.31062962962963,252,1_1_1,0.9999999999999999,0
5,2,1,4.525537037037037,2308.79,5,2308.79,4.275537037037037,48150,1_1_1,0.9999999999999999,0,5,2308.79,4.275537037037037,285,1_1_1,0.9999999999999999,0,5,2308.79,4.275537037037037,315,1_1_1,0.9999999999999999,0,5,2308.79,4.275537037037037,500,1_1_1,0.9999999999999999,0,5,2308.79,4.275537037037037,197,1_1_1,0.9999999999999999,0,5,2308.79,4.275537037037037,183,1_1_1,0.9999999999999999,0,5,2308.79,4.275537037037037,182,1_1_1,0.9999999999999999,0,5,2308.79,4.275537037037037,184,1_1_1,0.9999999999999999,0
